,u1,u2,u3,u4
Thermal,-397.36127650264916,-0.015242610148156834,0.15379773932015772,0.06735188780462775
Nuclear,348.4319378361927,0.10267284950576935,-0.070048809060803,0.09009531717311778
Hydro,171.90662086860158,0.027477715542184516,-0.1415136923708911,-0.13009091996306582
Other,154.1619137050604,-0.1916447156347401,0.0673851372872625,0.051778123680957
