CountryCode,Country,AirEmiss,Sulphur,Nitrogen,Ammonia,NonMeth,Partic,GreenGE,GreenGIE,EnIntensit,Tax,CombHP,ElectrRen,LargGen,ShareRen,AviationGasoline,Electicity,GasDiesel,KeroseneType,Gasoline,LPG,NaturalGas,OtherKerosene,PetroleumKoke,SolidFuel,FuelOil,Agriculture/Forestry,Industry,Residential,Transport,Services,NotSpec,coal,oil,gas,biofuels,waste,nuclear,hydro,geothermal,solar_PV,solar_thermal,wind,tide,other
LVA,Latvia,440341.86,250,1476.92,0,1333.48,726.7,1633.94,422.85,310.6,70.43,34.5,48.8,79.8,37.1,,14.67,22.22,3.21,5.75,2.37,8.91,,,1.54,0.05,3.77,19.96,32.94,27.69,15.61,0.04,0.03,0.02,33.32,4.69,0,0,60.1,0,0,0,1.85,0,0
LTU,Lithuania,430136.45,3529.54,2301.9,14.5,740.92,557.99,1610.43,596.88,266.4,69.65,36.1,13.1,24.4,23,,16.26,23.89,1.61,4.47,4.14,10.43,,,5.63,0.2,2.21,20.69,31.15,33.21,12.61,0.13,0,4.76,57.09,4.32,0,0,18.58,0,0.04,0,10.71,0,4.5
LUX,Luxembourg,278728.61,236.19,1851.1,0,454.77,1664.79,2566.26,253.3,127.6,181.29,64.1,5.3,70.4,3.6,,12.97,49.22,9.05,7.92,0.27,14.55,0.02,,1.14,0,0.58,13.15,10.93,61.51,13.84,0,0,0.03,62.61,1.52,2.52,0,30.36,0,1,0,1.97,0,0
MLT,Malta,3072010.45,11465.67,6938.81,2.99,267.16,438.81,4211.94,3070.15,143.5,200.37,0,1.6,100,3.8,,32.41,24.37,21.45,15.2,4.91,,,,,0,0.34,9.98,16.97,59.35,11.25,2.11,0,98.91,0,0.13,0.39,0,0,0,0.57,0,0,0,0
MNE,Montenegro,,,,,,,,,,,,,100,,,39.44,24.91,1.95,4.9,2.26,0,,,0.76,1.68,1.18,25.77,41.46,27.17,4.12,0.3,48.07,0,0,0,0,0,51.93,0,0,0,0,0,0
NLD,Netherlands,623569.37,405.55,883.7,10.83,300.03,14.48,2060.94,767.46,149.5,180.2,33.7,10.1,,4.5,0,17.85,14.44,6.9,7.73,0.81,38.57,0.09,,2.86,0.11,6.41,26.64,21.14,28.58,17.24,0,26.64,1.07,54.38,4.85,3.89,3.82,0.1,0,0.25,0,4.86,0,0.14
NOR,Norway,52651.22,146.39,2171.81,,1788.63,174.65,,,126.2,,0.2,105.5,31.2,65.5,0.01,50.04,23,4.94,5.3,0.95,2.33,0.24,0.1,3.25,0.37,1.8,32.3,21.5,28.96,14.96,0.47,0.11,0.03,1.78,0.18,0.14,0,96.7,0,0,0,1.05,0,0
POL,Poland,1587076.41,6072.17,3326.9,0,998.47,525.25,3266.82,1733.3,294.7,96.38,16.7,10.7,17.3,11.3,0.01,16.83,18.09,0.85,5.78,3.87,14.01,0,0.01,19.9,0.21,5.65,23.77,32.19,25.66,12.73,0,84.17,1.26,3.86,6.23,0.04,0,1.52,0,0,0,2.93,0,0
PRT,Portugal,697807.39,1585.55,2546.75,21.79,1105.14,414.31,2239.22,814.63,151.4,134.07,13.9,49.2,45.8,25.7,0.01,24.56,27.47,6.78,7.25,3.84,9.89,0.01,2.11,0.12,1.33,2.09,29.13,16.76,40.54,11.29,0.19,28.08,4.7,22.89,5.8,1.07,0,14.29,0.31,0.84,0,22.01,0,0.01
ROU,Romania,910430.87,7155.15,2496.88,,1865.84,328.49,2354.61,931.33,334.7,68.13,11.4,37.5,26.8,23.9,0,16.06,19.03,0.97,6.06,1.98,26.11,,0.92,3.37,0.14,2.1,29.02,35.51,24.27,8.21,0.89,38.8,1.27,14.77,0.36,0,19.42,20.89,0,0.01,0,4.47,0,0
SRB,Serbia,,,,,,,,,655.9,,,,53.5,,0.01,27.82,18.6,0.53,5.06,4.92,12.06,,0.99,7.11,1.16,2.2,29.8,34.52,24.11,9.38,0,71.56,0.18,1.3,0.02,0,0,26.94,0,0,0,0,0,0
SVK,Slovakia,364869.49,3286.13,1776.4,4.68,564.44,157.9,1758.2,569.25,337.2,47.52,26.6,20.8,83.8,9.8,,19.85,13.19,0.38,5.21,0.57,29.95,0.01,0.34,13.41,0,1.21,39.29,19.77,21.63,18.11,0,13.63,1.77,9.95,3.19,0.18,54.06,15.49,0,1.48,0,0.02,0,0.24
SVN,Slovenia,866601.29,1254.71,1946.43,0,803.14,171.57,2211,855.71,225.5,172.24,7.5,32.8,57.1,21.5,0.02,22.56,34.2,0.54,10.19,1.74,11.28,,0.71,0.97,0.14,1.56,24.93,24.1,38.87,10.15,0.39,32.71,0.06,3.38,1.7,0.04,35.15,25.94,0,1.04,0,0,0,0
ESP,Spain,611735.18,2943.43,2999.92,2.47,497.58,195.73,2124.9,735.53,128.7,114.16,8.9,36.4,24.5,15.4,0.01,24.59,31.86,6.49,5.8,1.82,18.22,,1.55,1.92,0.94,3.32,25.88,18.52,39.44,11.8,1.03,18.82,5.15,24.64,1.43,0.48,20.66,8.12,0,2.75,1.27,16.63,0,0.06
SWE,Sweden,138308.47,267.05,785.03,21.51,416.25,166.89,840.13,204.63,143.9,216.86,9.3,61.8,44.8,52.1,0.01,34.02,13.67,2.83,8.42,1.02,1.57,,,3.35,1.35,1.06,36.28,22.24,26.42,13.99,0,0.77,0.39,0.54,6.32,1.75,38.45,47.46,0,0.01,0,4.3,0,0
CHE,Switzerland,16508.12,219.64,579.46,11.99,221.52,137.41,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.08,1.32,0.75,3.16,36.41,57.69,0,0.46,0,0.13,0,0
TUR,Turkey,1037954.49,17644.43,3598.5,0,464.88,637.65,,,,,,,,,,,,,,,,,,,,,,,,,,28.4,0.68,43.63,0.25,0.05,0,24.16,0.38,0,0,2.45,0,0
GBR,United Kingdom,835646.72,1823.3,2724.14,8.58,931.04,109.42,2510.27,989.47,102.7,276.26,6,13.9,29.3,5.1,0.01,20.01,19.36,8.52,9.86,0.63,31.63,2.66,0.3,3.5,0.23,0.64,18.84,29.47,37,12.95,1.1,39.63,0.84,27.51,3.55,1.14,19.35,2.27,0,0.33,0,5.38,0,0
