,Varianta,Varianta cumulata,Procent varianta,Procent cumulat
C1,3.787747060426657,3.787747060426657,31.564558836888775,31.564558836888775
C2,2.2939888179857415,6.081735878412399,19.11657348321449,50.681132320103266
C3,1.241360731939313,7.323096610351712,10.344672766160931,61.0258050862642
C4,1.1988996805942957,8.521996290946008,9.990830671619122,71.01663575788332
C5,0.993296043774937,9.515292334720945,8.2774670314578,79.29410278934112
C6,0.735003101260889,10.250295435981833,6.125025843840735,85.41912863318186
C7,0.45898283498260234,10.709278270964436,3.8248569581883487,89.2439855913702
C8,0.45209652655209726,11.161374797516533,3.7674710546008066,93.01145664597101
C9,0.36540170996624427,11.526776507482777,3.045014249718699,96.05647089568971
C10,0.28941435512668656,11.816190862609464,2.411786292722385,98.4682571884121
C11,0.1811632176805277,11.997354080289991,1.5096934806710627,99.97795066908316
C12,0.00264591971002043,12.000000000000012,0.022049330916836894,100.0
